id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price_per_night,minimum_nights,annual_availability
18666,Flat with Sunny Terrace,71615,Sant Martí,el Camp de l'Arpa del Clot,41.40888621,2.185545326,Entire home/apt,130,3,23
18674,Huge flat for 8 people close to Sagrada Familia,71615,Eixample,la Sagrada Família,41.40419678,2.173057718,Entire home/apt,60,1,61
21605,Nice and sunny duble room,82522,Sant Martí,el Poblenou,41.40560416,2.198205123,Private room,33,2,300
25786,NICE ROOM AVAILABLE IN THE HEART OF GRACIA,108310,Gràcia,la Vila de Gràcia,41.40145195,2.156446514,Private room,31,1,36
31377,"Room for 2,  Sagrada Famili",134698,Horta-Guinardó,el Baix Guinardó,41.41096941,2.170701206,Private room,42,3,190
31380,"Room for 2-3. Barcelona, Sagrada Famili",134698,Horta-Guinardó,el Baix Guinardó,41.41090043,2.170818913,Private room,53,3,196
31823,"Aribau, Friendly Rentals",136853,Eixample,l'Antiga Esquerra de l'Eixample,41.38730581,2.159071822,Entire home/apt,70,1,331
31958,"Gaudi Attic 1, Friendly Rentals",136853,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40949768,2.159376004,Entire home/apt,65,1,337
32471,"Gaudi Attic 2, Friendly Rentals",136853,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40928245,2.161117637,Entire home/apt,90,1,329
32711,Sagrada Familia area - Còrsega 1,135703,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40463581,2.169537931,Entire home/apt,140,2,328
32868,"Sant Joan 4, Friendly Rentals",136853,Eixample,la Dreta de l'Eixample,41.39575758,2.174319184,Entire home/apt,100,1,0
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163,Ciutat Vella,el Barri Gòtic,41.37916954,2.175545921,Entire home/apt,500,4,230
35379,Double 02 CasanovaRooms Barcelona,152232,Eixample,l'Antiga Esquerra de l'Eixample,41.39029237,2.152677666,Private room,40,2,304
35388,Single 01 CasanovaRooms Barcelona,152232,Eixample,l'Antiga Esquerra de l'Eixample,41.39058409,2.151896792,Private room,30,2,270
35390,Single 02 CasanovaRooms Barcelona,152232,Eixample,l'Antiga Esquerra de l'Eixample,41.39146706,2.151184827,Private room,30,2,301
35392,Double 01 CasanovaRooms Barcelona,152232,Eixample,l'Antiga Esquerra de l'Eixample,41.39075232,2.150717086,Private room,45,2,332
36763,In front of the beach,158596,Ciutat Vella,la Barceloneta,41.37906405,2.191414374,Private room,29,2,362
40983,Classical loft close to pedrera!,177617,Eixample,la Dreta de l'Eixample,41.39559668,2.167606583,Entire home/apt,95,3,282
46153,"CHIC BORN, APARTMENT, GREAT LOCATION , FREE WIFI",90417,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38776152,2.177824504,Entire home/apt,43,180,279
49213,"Descalzos en el parque, relaxing and  cool room",208154,Sants-Montjuïc,el Poble Sec,41.37315111,2.166400603,Private room,35,3,111
49968,Sagrada Familia area - Còrsega 2,135703,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40630656,2.169447557,Entire home/apt,140,2,331
50066,Sagrada Familia area - Sardenya 1,135703,Eixample,el Fort Pienc,41.39820673,2.179655681,Entire home/apt,180,2,270
